,listing_id,image_file,prop_type,listing_price,beds,baths,sqft,address,city,state,zipcode
208,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m3285349787xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
209,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m315264911xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
210,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m1001056251xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
211,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m4092368702xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
212,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m3841509833xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
213,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2940510563xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
214,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2435176376xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
215,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m3414336129xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
216,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m584572787xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
217,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m4149973614xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
218,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m1504757200xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
219,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2566290996xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
220,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m279416524xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
221,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m715413981xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
222,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m544081013xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
223,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m195331982xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
224,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m233390357xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
225,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2537251776xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
226,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m87859230xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
227,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2835240901xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
254,Denver_CO_1_1,e75b45cd6dec5577460e32b0d1940ec7l-m1716080714xd-w1020_h770_q80.jpg,House for Sale,"$339,900",3,2,893,1098-S-Canosa-Ct,Denver,CO,80219
255,Denver_CO_1_1,e75b45cd6dec5577460e32b0d1940ec7l-m2597843040xd-w1020_h770_q80.jpg,House for Sale,"$339,900",3,2,893,1098-S-Canosa-Ct,Denver,CO,80219
256,Denver_CO_1_1,e75b45cd6dec5577460e32b0d1940ec7l-m1450355528xd-w1020_h770_q80.jpg,House for Sale,"$339,900",3,2,893,1098-S-Canosa-Ct,Denver,CO,80219
257,Denver_CO_1_1,e75b45cd6dec5577460e32b0d1940ec7l-m3015753199xd-w1020_h770_q80.jpg,House for Sale,"$339,900",3,2,893,1098-S-Canosa-Ct,Denver,CO,80219
258,Denver_CO_1_1,e75b45cd6dec5577460e32b0d1940ec7l-m762524410xd-w1020_h770_q80.jpg,House for Sale,"$339,900",3,2,893,1098-S-Canosa-Ct,Denver,CO,80219
259,Denver_CO_1_1,e75b45cd6dec5577460e32b0d1940ec7l-m4108067226xd-w1020_h770_q80.jpg,House for Sale,"$339,900",3,2,893,1098-S-Canosa-Ct,Denver,CO,80219
